Synonym,Root Canonical Name
Buellia verruculosa subsp. praeponens,Buellia ocellata
Buellia verruculosa var. praeponens,Buellia ocellata
Bacidia hegetschweileri,Scoliciosporum umbrinum
Lecidea vermifera,Scoliciosporum umbrinum
Scoliciosporum vermiferum,Scoliciosporum umbrinum
Agaricus oblectus,Coprinus sterquilinus
Agaricus sterquilinus,Coprinus sterquilinus
Coprinus oblectus,Coprinus sterquilinus
Peziza phalaridis,Calycellina phalaridis
Mollisia phalaridis,Calycellina phalaridis
Mollisia fusca,Tapesia fusca
Galerina luteofulva,Galerina allospora
Elateromyces,Farysia
Graphium cf. putredinis,Graphium
Ceratopodium,Graphium
Phialographium,Graphium
Sphaerotheca balsaminae,Podosphaera balsaminae
Lecidea effusa var. delicata,Bacidia delicata
Bacidina delicata,Bacidia delicata
Woessia delicata,Bacidia delicata
Peziza peristomialis,Ijuhya peristomialis
Mollisia peristomialis,Ijuhya peristomialis
Cyathicula peristomialis,Ijuhya peristomialis
Peristomialis berkeleyi,Ijuhya peristomialis
Actiniopsis peristomialis,Ijuhya peristomialis
Nectria peristomialis,Ijuhya peristomialis
Geoglossum elongatum,Hemileucoglossum elongatum
Sphaerella vaccinii,Mycosphaerella vaccinii
Gnomonia quercina,Apiognomonia quercina
Sphaeria betulina,Pseudovalsa lanciformis
Sphaeria lanciformis,Pseudovalsa lanciformis
Coryneum brachyurum,Pseudovalsa lanciformis
Melanconis lanciformis,Pseudovalsa lanciformis
Coryneum lanciforme,Pseudovalsa lanciformis
Hydrabasidium,Scotomyces
Empusa echinospora,Pandora echinospora
Entomophthora echinospora,Pandora echinospora
Erynia echinospora,Pandora echinospora
Darluca,Sphaerellopsis
Verrucaria fuscorubella,Bacidia polychroa
Lecidea luteola var. acerina,Bacidia polychroa
Biatora polychroa,Bacidia polychroa
Bacidia acerina,Bacidia laurocerasi
Bacidia fuscorubella,Bacidia polychroa
Lecidea polysita,Bacidia polychroa
Bacidia luteola var. acerina,Bacidia polychroa
Bacidia polysita,Bacidia polychroa
Toninia polysita,Bacidia polychroa
Sporidesmium caulincola,Clasterosporium caulincola
Bactrodesmium caulincola,Clasterosporium caulincola
Leptothyrium populi,Drepanopeziza populorum
Trochila populorum,Drepanopeziza populorum
Marssonia populi,Drepanopeziza populorum
Marssonina populi,Drepanopeziza populorum
Agaricus limpidus,Pleurotus limpidus
Puccinia erechtitis,Puccinia lagenophorae
Puccinia distincta,Puccinia lagenophorae
Puccinia terrieriana,Puccinia lagenophorae
Hypochnicium cf. bombycinum,Hypochnicium
Hypochnicium cf. eriksonii,Hypochnicium
Hypochnicium cf. geogenium,Hypochnicium
Hypochnicium cf. sphaerosporum,Hypochnicium
Hypochnicium cf. vellereum,Hypochnicium
Nodotia cf. lyndoniae,Hypochnicium
Gloeohypochnicium,Hypochnicium
Nodotia,Hypochnicium
Lecanora galactina subsp. dispersa,Lecanora dispersa
Lecanora galactina subsp. dissipata,Lecanora dispersa
Lecanora hagenii,Lecanora dispersa
Lecanora subluta f. perspersa,Lecanora dispersa
Lecanora umbrina,Lecanora dispersa
Lichen dispersus,Lecanora dispersa
Lecanora galactina var. dispersa,Lecanora dispersa
Lecanora dispersa f. dispersa,Lecanora dispersa
Lecanora subluta var. perspersa,Lecanora dispersa
Myriolecis dispersa,Lecanora dispersa
Lichen muscicola,Polychidium muscicola
Collema muscicola,Polychidium muscicola
Aecidium umbelliferarum,Puccinia smyrnii
Trichobasis petroselini var. smyrnii,Puccinia smyrnii
Aecidium bunii var. smyrnii-olusatri,Puccinia smyrnii
Uredo aecidiiformis,Uromyces aecidiiformis
Aecidium smyrnii,Puccinia smyrnii
Puccinia smyrnii-olusatri,Puccinia smyrnii
Torula infirmominiata,Cystofilobasidium infirmominiatum
Cryptococcus infirmominiatus,Cystofilobasidium infirmominiatum
